title,author,isbn,status,rating,format,category,series,series_index,cover_url,blurb
Loki: A Bad God's Guide to Being Good,Louie Stowell,"9781406399752",Read,10,Physical,Fiction,Loki,1,https://raw.githubusercontent.com/Dum-Dum32/nate-book-catalogue/main/images/loki1.jpg,"After one trick too many, Loki is banished to live on Earth as a 'normal' school boy."
Loki: A Bad God's Guide to Taking the Blame,Louie Stowell,"9781529501223",Read,10,Physical,Fiction,Loki,2,https://raw.githubusercontent.com/Dum-Dum32/nate-book-catalogue/main/images/loki2.jpg,"Odin gives Loki a second chance, but when Thor’s hammer goes missing, everyone blames Loki."
Loki: A Bad God's Guide to Ruling the World,Louie Stowell,"9781529501230",Read,10,Physical,Fiction,Loki,3,https://raw.githubusercontent.com/Dum-Dum32/nate-book-catalogue/main/images/loki3.jpg,"Loki and Thor are sent to a new school where they must endure annoyingly perfect students."
Loki: A Bad God's Guide to Making Enemies,Louie Stowell,"9781529515800",Read,10,Physical,Fiction,Loki,4,https://raw.githubusercontent.com/Dum-Dum32/nate-book-catalogue/main/images/loki4.jpg,"Loki has to make friends to save the world. Unfortunately, he is much better at making enemies."
Loki: A Bad God's Guide to Causing Chaos,Louie Stowell,"9781529515817",Read,10,Physical,Fiction,Loki,5,https://raw.githubusercontent.com/Dum-Dum32/nate-book-catalogue/main/images/loki5.jpg,"Loki must sort out the chaos that erupts after the goddess Freyja arrives in town."
Loki: Tales of a Bad God (World Book Day),Louie Stowell,"9781529519723",Read,10,Physical,Short Stories,Loki,4.5,https://raw.githubusercontent.com/Dum-Dum32/nate-book-catalogue/main/images/loki_wbd.jpg,"A collection of thrilling tales starring Loki, including a story about Thor almost marrying a giant."
Loki: A Bad God's Guide to Unruly Activities,Louie Stowell,"9781529515787",Read,10,Physical,Activity Book,Loki,0,https://raw.githubusercontent.com/Dum-Dum32/nate-book-catalogue/main/images/loki_activity.jpg,"Tricks, pranks, puzzles, and games from the Norse god of mischief."
