title,author,isbn,status,rating,format,category,series,series_index,cover_url,blurb
Harry Potter and the Philosopher's Stone,J.K. Rowling,"9781408855652",Read,10,Physical,Fantasy,Harry Potter,1,https://covers.openlibrary.org/b/isbn/9781408855652-L.jpg,"Harry Potter has never even heard of Hogwarts when the letters start dropping on the doormat at number four, Privet Drive. Addressed in green ink on yellowish parchment with a purple seal, they are swiftly confiscated by his grisly aunt and uncle."
Harry Potter and the Chamber of Secrets,J.K. Rowling,"9781408855669",Read,10,Physical,Fantasy,Harry Potter,2,https://covers.openlibrary.org/b/isbn/9781408855669-L.jpg,"Harry Potter's summer has included the worst birthday ever, doomy warnings from a house-elf called Dobby, and rescue from the Dursleys by his friend Ron Weasley in a magical flying car."
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,"9781408855676",Read,10,Physical,Fantasy,Harry Potter,3,https://covers.openlibrary.org/b/isbn/9781408855676-L.jpg,"When the Knight Bus crashes through the darkness and screeches to a halt in front of him, it's the start of another far from ordinary year at Hogwarts for Harry Potter."
Harry Potter and the Goblet of Fire,J.K. Rowling,"9781408855683",Read,10,Physical,Fantasy,Harry Potter,4,https://covers.openlibrary.org/b/isbn/9781408855683-L.jpg,"The Triwizard Tournament is to be held at Hogwarts. Only wizards who are over seventeen are allowed to enter - but that doesn't stop Harry dreaming that he will win the competition."
Harry Potter and the Order of the Phoenix,J.K. Rowling,"9781408855690",Read,10,Physical,Fantasy,Harry Potter,5,https://covers.openlibrary.org/b/isbn/9781408855690-L.jpg,"Dark times have come to Hogwarts. After the Dementors' attack on his cousin Dudley, Harry Potter knows that Voldemort will stop at nothing to find him."
Harry Potter and the Half-Blood Prince,J.K. Rowling,"9781408855706",Read,10,Physical,Fantasy,Harry Potter,6,https://covers.openlibrary.org/b/isbn/9781408855706-L.jpg,"There it was, hanging in the sky above the school: the blazing green skull with a serpent tongue, the mark Death Eaters leave behind whenever they had entered a building."
Harry Potter and the Deathly Hallows,J.K. Rowling,"9781408855713",Read,10,Physical,Fantasy,Harry Potter,7,https://covers.openlibrary.org/b/isbn/9781408855713-L.jpg,"As he climbs into the sidecar of Hagrid's motorbike and takes to the skies, leaving Privet Drive for the last time, Harry Potter knows that Lord Voldemort and the Death Eaters are not far behind."
